Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
https //bromabakerycom/wp content/uploads/2021/04/broma logopng,2,0,4,1,6,4,0,0,0
recipes,2,2,1,0,0,1,0,0,0
breads,1,2,1,0,0,1,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
desserts,1,1,1,0,0,1,0,0,0
drinks,1,1,1,0,0,1,0,0,0
savory,1,1,1,0,0,1,0,0,0
recipe index,1,1,2,0,0,2,0,0,0
homemade cinnamon rolls soft fluffy,0,1,5,0,0,4,0,0,0
lemon poppy seed bread,2,0,4,0,0,3,0,0,0
potato chip chocolate chip cookies,2,2,5,0,0,5,0,0,0
chocolate covered pretzel brownies,2,2,4,0,0,2,1,0,0
orange upside down cake,2,2,4,0,0,1,1,0,0
lifestyle,2,2,1,0,0,1,0,0,0
business,1,2,1,0,0,1,0,0,0
fashion,1,1,1,0,0,1,0,0,0
home,1,1,1,0,0,1,0,0,0
travel,1,1,1,0,0,1,0,0,0
5 outfits to wear when you work from home,2,1,9,1,1,2,2,0,0
10 kitchen essentials you can t live without,2,2,8,1,2,2,1,0,0
how to make a cheeseboard,2,2,5,0,0,1,1,0,0
how i learned that eating a cookie is part of a healthy diet,2,2,13,0,0,4,3,0,0
productivity hacks we swear by,2,2,5,0,0,1,2,0,0
foodtography school,1,2,2,0,0,2,0,0,0
shop,2,1,1,0,0,1,0,0,0
x,2,2,1,0,0,1,0,0,0
subscribe,2,2,1,0,0,1,0,0,0
recipes,1,2,1,0,0,1,0,0,0
row,1,1,1,0,0,1,0,0,0
column,1,1,1,0,0,1,0,0,0
breads,1,1,1,0,0,1,0,0,0
breakfast,1,1,1,0,0,1,0,0,0
desserts,1,1,1,0,0,1,0,0,0
drinks,1,1,1,0,0,1,0,0,0
savory,1,1,1,0,0,1,0,0,0
recipe index,1,1,2,0,0,2,0,0,0
column,1,1,1,0,0,1,0,0,0
widget area,1,1,2,0,0,1,1,0,0
lifestyle,1,1,1,0,0,1,0,0,0
row,1,1,1,0,0,1,0,0,0
column,1,1,1,0,0,1,0,0,0
business,1,1,1,0,0,1,0,0,0
fashion,1,1,1,0,0,1,0,0,0
home,1,1,1,0,0,1,0,0,0
travel,1,1,1,0,0,1,0,0,0
column,1,1,1,0,0,1,0,0,0
widget area,1,1,2,0,0,1,1,0,0
foodtography school,1,1,2,0,0,2,0,0,0
shop,2,1,1,0,0,1,0,0,0
prev,1,2,1,0,0,1,0,0,0
next,2,1,1,0,0,0,0,0,0
fudgy oreo brownies,2,2,3,0,0,2,0,0,0
brownies,2,2,1,0,0,1,0,0,0
may 11 2020,0,2,3,1,6,0,0,0,0
https //bromabakerycom/wp content/uploads/2020/04/oreo,1,0,3,1,6,2,0,0,0
brownies 5 1067x1600jpg,2,1,3,1,9,1,0,0,0
brownies,2,2,1,0,0,1,0,0,0
may 11 2020,2,2,3,1,6,0,0,0,0
fudgy oreo brownies,2,2,3,0,0,2,0,0,0
prep time 10 min,1,2,4,1,2,2,0,0,0
cook time 50 hr,1,1,4,1,2,3,0,0,0
total time 1 hr,2,1,4,1,1,2,0,0,0
world meet oreo brownies aka the most decadent delicious and fudgy brownies,1,2,12,0,0,4,1,0,0
loaded with oreo pieces they re easy simple and a major crowdpleaser,0,1,12,0,0,3,2,0,0
jump to recipe,0,0,3,0,0,1,1,0,0
https //bromabakerycom/wp,1,0,2,0,0,2,0,0,0
content/uploads/2020/06/downarrowpng,2,1,1,1,6,1,0,0,0
share,2,2,1,0,0,1,0,0,0
